RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Denali NP & PRES,National Park,2022,"427,562"
Alaska Region,Denali NP & PRES,National Park,2021,"229,521"
Alaska Region,Denali NP & PRES,National Park,2020,"54,850"
Alaska Region,Denali NP & PRES,National Park,2019,"601,152"
Alaska Region,Denali NP & PRES,National Park,2018,"594,660"
Alaska Region,Denali NP & PRES,National Park,2017,"642,809"
Alaska Region,Denali NP & PRES,National Park,2016,"587,412"
Alaska Region,Denali NP & PRES,National Park,2015,"560,757"
Alaska Region,Denali NP & PRES,National Park,2014,"531,315"
Alaska Region,Denali NP & PRES,National Park,2013,"530,922"
Alaska Region,Denali NP & PRES,National Park,2012,"388,433"
Alaska Region,Denali NP & PRES,National Park,2011,"406,582"
Alaska Region,Denali NP & PRES,National Park,2010,"378,855"
Alaska Region,Denali NP & PRES,National Park,2009,"358,041"
Alaska Region,Denali NP & PRES,National Park,2008,"432,309"
Alaska Region,Denali NP & PRES,National Park,2007,"458,308"
Alaska Region,Denali NP & PRES,National Park,2006,"415,935"
Alaska Region,Denali NP & PRES,National Park,2005,"403,520"
Alaska Region,Denali NP & PRES,National Park,2004,"404,236"
Alaska Region,Denali NP & PRES,National Park,2003,"360,189"
Alaska Region,Denali NP & PRES,National Park,2002,"311,335"
Alaska Region,Denali NP & PRES,National Park,2001,"360,191"
Alaska Region,Denali NP & PRES,National Park,2000,"363,983"
Alaska Region,Denali NP & PRES,National Park,1999,"386,867"
Alaska Region,Denali NP & PRES,National Park,1998,"372,519"
Alaska Region,Denali NP & PRES,National Park,1997,"354,278"
Alaska Region,Denali NP & PRES,National Park,1996,"341,385"
Alaska Region,Denali NP & PRES,National Park,1995,"543,309"
Alaska Region,Denali NP & PRES,National Park,1994,"490,311"
Alaska Region,Denali NP & PRES,National Park,1993,"505,565"
Alaska Region,Denali NP & PRES,National Park,1992,"503,674"
Alaska Region,Denali NP & PRES,National Park,1991,"558,870"
Alaska Region,Denali NP & PRES,National Park,1990,"546,693"
Alaska Region,Denali NP & PRES,National Park,1989,"543,640"
Alaska Region,Denali NP & PRES,National Park,1988,"592,431"
Alaska Region,Denali NP & PRES,National Park,1987,"575,013"
Alaska Region,Denali NP & PRES,National Park,1986,"529,749"
Alaska Region,Denali NP & PRES,National Park,1985,"436,545"
Alaska Region,Denali NP & PRES,National Park,1984,"395,099"
Alaska Region,Denali NP & PRES,National Park,1983,"346,082"
Alaska Region,Denali NP & PRES,National Park,1982,"321,868"
Alaska Region,Denali NP & PRES,National Park,1981,"256,593"
Alaska Region,Denali NP & PRES,National Park,1980,"216,361"
Alaska Region,Denali NP & PRES,National Park,1979,"251,105"
Alaska Region,Denali NP & PRES,National Park,1978,"223,000"
Alaska Region,Denali NP & PRES,National Park,1977,"183,200"
Alaska Region,Denali NP & PRES,National Park,1976,"157,600"
Alaska Region,Denali NP & PRES,National Park,1975,"160,600"
Alaska Region,Denali NP & PRES,National Park,1974,"161,400"
Alaska Region,Denali NP & PRES,National Park,1973,"137,300"
Alaska Region,Denali NP & PRES,National Park,1972,"88,625"
Alaska Region,Denali NP & PRES,National Park,1971,"44,500"
Alaska Region,Denali NP & PRES,National Park,1970,"46,000"
Alaska Region,Denali NP & PRES,National Park,1969,"45,400"
Alaska Region,Denali NP & PRES,National Park,1968,"33,300"
Alaska Region,Denali NP & PRES,National Park,1967,"39,800"
Alaska Region,Denali NP & PRES,National Park,1966,"31,300"
Alaska Region,Denali NP & PRES,National Park,1965,"21,400"
Alaska Region,Denali NP & PRES,National Park,1964,"19,200"
Alaska Region,Denali NP & PRES,National Park,1963,"18,400"
Alaska Region,Denali NP & PRES,National Park,1962,"16,600"
Alaska Region,Denali NP & PRES,National Park,1961,"18,300"
Alaska Region,Denali NP & PRES,National Park,1960,"22,500"
Alaska Region,Denali NP & PRES,National Park,1959,"25,800"
Alaska Region,Denali NP & PRES,National Park,1958,"25,900"
Alaska Region,Denali NP & PRES,National Park,1957,"10,700"
Alaska Region,Denali NP & PRES,National Park,1956,"5,200"
Alaska Region,Denali NP & PRES,National Park,1955,"3,400"
Alaska Region,Denali NP & PRES,National Park,1954,"5,000"
Alaska Region,Denali NP & PRES,National Park,1953,"6,839"
Alaska Region,Denali NP & PRES,National Park,1952,"7,310"
Alaska Region,Denali NP & PRES,National Park,1951,"7,807"
Alaska Region,Denali NP & PRES,National Park,1950,"6,672"
Alaska Region,Denali NP & PRES,National Park,1949,"4,831"
Alaska Region,Denali NP & PRES,National Park,1948,"4,512"
Alaska Region,Denali NP & PRES,National Park,1947,"3,466"
Alaska Region,Denali NP & PRES,National Park,1946,"1,134"
Alaska Region,Denali NP & PRES,National Park,1945,19
Alaska Region,Denali NP & PRES,National Park,1944,0
Alaska Region,Denali NP & PRES,National Park,1943,12
Alaska Region,Denali NP & PRES,National Park,1942,5
Alaska Region,Denali NP & PRES,National Park,1941,"1,688"
Alaska Region,Denali NP & PRES,National Park,1940,"1,201"
Alaska Region,Denali NP & PRES,National Park,1939,"2,262"
Alaska Region,Denali NP & PRES,National Park,1938,"1,487"
Alaska Region,Denali NP & PRES,National Park,1937,"1,378"
Alaska Region,Denali NP & PRES,National Park,1936,"1,073"
Alaska Region,Denali NP & PRES,National Park,1935,877
Alaska Region,Denali NP & PRES,National Park,1934,628
Alaska Region,Denali NP & PRES,National Park,1933,386
Alaska Region,Denali NP & PRES,National Park,1932,357
Alaska Region,Denali NP & PRES,National Park,1931,771
Alaska Region,Denali NP & PRES,National Park,1930,951
Alaska Region,Denali NP & PRES,National Park,1929,"1,038"
Alaska Region,Denali NP & PRES,National Park,1928,802
Alaska Region,Denali NP & PRES,National Park,1927,651
Alaska Region,Denali NP & PRES,National Park,1926,533
Alaska Region,Denali NP & PRES,National Park,1925,206
Alaska Region,Denali NP & PRES,National Park,1924,62
Alaska Region,Denali NP & PRES,National Park,1923,34
Alaska Region,Denali NP & PRES,National Park,1922,7
Alaska Region,Denali NP & PRES,National Park,1921,
Alaska Region,Denali NP & PRES,National Park,1920,
Alaska Region,Denali NP & PRES,National Park,1919,
Alaska Region,Denali NP & PRES,National Park,1918,
Alaska Region,Denali NP & PRES,National Park,1917,
Alaska Region,Denali NP & PRES,National Park,1916,
Alaska Region,Denali NP & PRES,National Park,1915,
Alaska Region,Denali NP & PRES,National Park,1914,
Alaska Region,Denali NP & PRES,National Park,1913,
Alaska Region,Denali NP & PRES,National Park,1912,
Alaska Region,Denali NP & PRES,National Park,1911,
Alaska Region,Denali NP & PRES,National Park,1910,
Alaska Region,Denali NP & PRES,National Park,1909,
Alaska Region,Denali NP & PRES,National Park,1908,
Alaska Region,Denali NP & PRES,National Park,1907,
Alaska Region,Denali NP & PRES,National Park,1906,
Alaska Region,Denali NP & PRES,National Park,1905,
Alaska Region,Denali NP & PRES,National Park,1904,
Alaska Region,Gates of the Arctic NP & PRES,National Park,2022,"9,457"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2021,"7,362"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2020,"2,872"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2019,"10,518"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2018,"9,591"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2017,"11,177"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2016,"10,047"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2015,"10,745"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2014,"12,669"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2013,"11,012"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2012,"10,899"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2011,"11,623"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2010,"10,840"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2009,"9,975"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2008,"11,397"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2007,"10,942"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2006,"9,982"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2005,"9,459"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2004,"10,282"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2003,"5,075"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2002,"6,648"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2001,"4,505"
Alaska Region,Gates of the Arctic NP & PRES,National Park,2000,"11,278"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1999,"8,166"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1998,"8,266"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1997,"6,949"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1996,"6,448"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1995,"7,074"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1994,"1,726"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1993,"2,245"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1992,"2,116"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1991,"1,154"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1990,"1,010"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1989,822
Alaska Region,Gates of the Arctic NP & PRES,National Park,1988,"1,258"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1987,"1,060"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1986,"2,801"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1985,"1,381"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1984,"2,440"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1983,"2,138"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1982,"1,381"
Alaska Region,Gates of the Arctic NP & PRES,National Park,1981,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1980,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1979,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1978,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1977,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1976,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1975,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1974,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1973,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1972,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1971,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1970,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1969,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1968,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1967,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1966,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1965,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1964,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1963,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1962,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1961,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1960,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1959,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1958,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1957,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1956,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1955,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1954,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1953,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1952,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1951,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1950,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1949,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1948,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1947,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1946,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1945,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1944,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1943,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1942,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1941,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1940,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1939,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1938,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1937,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1936,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1935,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1934,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1933,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1932,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1931,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1930,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1929,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1928,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1927,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1926,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1925,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1924,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1923,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1922,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1921,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1920,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1919,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1918,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1917,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1916,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1915,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1914,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1913,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1912,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1911,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1910,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1909,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1908,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1907,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1906,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1905,
Alaska Region,Gates of the Arctic NP & PRES,National Park,1904,
Alaska Region,Glacier Bay NP & PRES,National Park,2022,"545,758"
Alaska Region,Glacier Bay NP & PRES,National Park,2021,"89,768"
Alaska Region,Glacier Bay NP & PRES,National Park,2020,"5,748"
Alaska Region,Glacier Bay NP & PRES,National Park,2019,"672,087"
Alaska Region,Glacier Bay NP & PRES,National Park,2018,"597,915"
Alaska Region,Glacier Bay NP & PRES,National Park,2017,"547,057"
Alaska Region,Glacier Bay NP & PRES,National Park,2016,"520,171"
Alaska Region,Glacier Bay NP & PRES,National Park,2015,"551,353"
Alaska Region,Glacier Bay NP & PRES,National Park,2014,"500,727"
Alaska Region,Glacier Bay NP & PRES,National Park,2013,"500,590"
Alaska Region,Glacier Bay NP & PRES,National Park,2012,"454,337"
Alaska Region,Glacier Bay NP & PRES,National Park,2011,"431,986"
Alaska Region,Glacier Bay NP & PRES,National Park,2010,"444,530"
Alaska Region,Glacier Bay NP & PRES,National Park,2009,"438,361"
Alaska Region,Glacier Bay NP & PRES,National Park,2008,"418,911"
Alaska Region,Glacier Bay NP & PRES,National Park,2007,"438,211"
Alaska Region,Glacier Bay NP & PRES,National Park,2006,"413,382"
Alaska Region,Glacier Bay NP & PRES,National Park,2005,"359,829"
Alaska Region,Glacier Bay NP & PRES,National Park,2004,"353,686"
Alaska Region,Glacier Bay NP & PRES,National Park,2003,"366,319"
Alaska Region,Glacier Bay NP & PRES,National Park,2002,"408,143"
Alaska Region,Glacier Bay NP & PRES,National Park,2001,"380,114"
Alaska Region,Glacier Bay NP & PRES,National Park,2000,"384,684"
Alaska Region,Glacier Bay NP & PRES,National Park,1999,"442,607"
Alaska Region,Glacier Bay NP & PRES,National Park,1998,"403,512"
Alaska Region,Glacier Bay NP & PRES,National Park,1997,"347,046"
Alaska Region,Glacier Bay NP & PRES,National Park,1996,"304,374"
Alaska Region,Glacier Bay NP & PRES,National Park,1995,"252,265"
Alaska Region,Glacier Bay NP & PRES,National Park,1994,"250,614"
Alaska Region,Glacier Bay NP & PRES,National Park,1993,"242,276"
Alaska Region,Glacier Bay NP & PRES,National Park,1992,"211,424"
Alaska Region,Glacier Bay NP & PRES,National Park,1991,"203,653"
Alaska Region,Glacier Bay NP & PRES,National Park,1990,"186,427"
Alaska Region,Glacier Bay NP & PRES,National Park,1989,"150,270"
Alaska Region,Glacier Bay NP & PRES,National Park,1988,"148,756"
Alaska Region,Glacier Bay NP & PRES,National Park,1987,"130,926"
Alaska Region,Glacier Bay NP & PRES,National Park,1986,"136,877"
Alaska Region,Glacier Bay NP & PRES,National Park,1985,"130,943"
Alaska Region,Glacier Bay NP & PRES,National Park,1984,"108,297"
Alaska Region,Glacier Bay NP & PRES,National Park,1983,"92,057"
Alaska Region,Glacier Bay NP & PRES,National Park,1982,"90,354"
Alaska Region,Glacier Bay NP & PRES,National Park,1981,"85,071"
Alaska Region,Glacier Bay NP & PRES,National Park,1980,"95,005"
Alaska Region,Glacier Bay NP & PRES,National Park,1979,"91,032"
Alaska Region,Glacier Bay NP & PRES,National Park,1978,"81,500"
Alaska Region,Glacier Bay NP & PRES,National Park,1977,"88,400"
Alaska Region,Glacier Bay NP & PRES,National Park,1976,"56,700"
Alaska Region,Glacier Bay NP & PRES,National Park,1975,"50,600"
Alaska Region,Glacier Bay NP & PRES,National Park,1974,"50,500"
Alaska Region,Glacier Bay NP & PRES,National Park,1973,"25,400"
Alaska Region,Glacier Bay NP & PRES,National Park,1972,"18,300"
Alaska Region,Glacier Bay NP & PRES,National Park,1971,"17,900"
Alaska Region,Glacier Bay NP & PRES,National Park,1970,"29,700"
Alaska Region,Glacier Bay NP & PRES,National Park,1969,"16,000"
Alaska Region,Glacier Bay NP & PRES,National Park,1968,"13,500"
Alaska Region,Glacier Bay NP & PRES,National Park,1967,"8,300"
Alaska Region,Glacier Bay NP & PRES,National Park,1966,"4,900"
Alaska Region,Glacier Bay NP & PRES,National Park,1965,"1,800"
Alaska Region,Glacier Bay NP & PRES,National Park,1964,"1,000"
Alaska Region,Glacier Bay NP & PRES,National Park,1963,800
Alaska Region,Glacier Bay NP & PRES,National Park,1962,"1,100"
Alaska Region,Glacier Bay NP & PRES,National Park,1961,"1,300"
Alaska Region,Glacier Bay NP & PRES,National Park,1960,900
Alaska Region,Glacier Bay NP & PRES,National Park,1959,"1,300"
Alaska Region,Glacier Bay NP & PRES,National Park,1958,"5,100"
Alaska Region,Glacier Bay NP & PRES,National Park,1957,"3,600"
Alaska Region,Glacier Bay NP & PRES,National Park,1956,"2,200"
Alaska Region,Glacier Bay NP & PRES,National Park,1955,
Alaska Region,Glacier Bay NP & PRES,National Park,1954,
Alaska Region,Glacier Bay NP & PRES,National Park,1953,
Alaska Region,Glacier Bay NP & PRES,National Park,1952,
Alaska Region,Glacier Bay NP & PRES,National Park,1951,
Alaska Region,Glacier Bay NP & PRES,National Park,1950,
Alaska Region,Glacier Bay NP & PRES,National Park,1949,
Alaska Region,Glacier Bay NP & PRES,National Park,1948,
Alaska Region,Glacier Bay NP & PRES,National Park,1947,
Alaska Region,Glacier Bay NP & PRES,National Park,1946,
Alaska Region,Glacier Bay NP & PRES,National Park,1945,
Alaska Region,Glacier Bay NP & PRES,National Park,1944,
Alaska Region,Glacier Bay NP & PRES,National Park,1943,
Alaska Region,Glacier Bay NP & PRES,National Park,1942,
Alaska Region,Glacier Bay NP & PRES,National Park,1941,
Alaska Region,Glacier Bay NP & PRES,National Park,1940,
Alaska Region,Glacier Bay NP & PRES,National Park,1939,
Alaska Region,Glacier Bay NP & PRES,National Park,1938,
Alaska Region,Glacier Bay NP & PRES,National Park,1937,
Alaska Region,Glacier Bay NP & PRES,National Park,1936,
Alaska Region,Glacier Bay NP & PRES,National Park,1935,
Alaska Region,Glacier Bay NP & PRES,National Park,1934,
Alaska Region,Glacier Bay NP & PRES,National Park,1933,
Alaska Region,Glacier Bay NP & PRES,National Park,1932,
Alaska Region,Glacier Bay NP & PRES,National Park,1931,
Alaska Region,Glacier Bay NP & PRES,National Park,1930,
Alaska Region,Glacier Bay NP & PRES,National Park,1929,
Alaska Region,Glacier Bay NP & PRES,National Park,1928,
Alaska Region,Glacier Bay NP & PRES,National Park,1927,
Alaska Region,Glacier Bay NP & PRES,National Park,1926,
Alaska Region,Glacier Bay NP & PRES,National Park,1925,
Alaska Region,Glacier Bay NP & PRES,National Park,1924,
Alaska Region,Glacier Bay NP & PRES,National Park,1923,
Alaska Region,Glacier Bay NP & PRES,National Park,1922,
Alaska Region,Glacier Bay NP & PRES,National Park,1921,
Alaska Region,Glacier Bay NP & PRES,National Park,1920,
Alaska Region,Glacier Bay NP & PRES,National Park,1919,
Alaska Region,Glacier Bay NP & PRES,National Park,1918,
Alaska Region,Glacier Bay NP & PRES,National Park,1917,
Alaska Region,Glacier Bay NP & PRES,National Park,1916,
Alaska Region,Glacier Bay NP & PRES,National Park,1915,
Alaska Region,Glacier Bay NP & PRES,National Park,1914,
Alaska Region,Glacier Bay NP & PRES,National Park,1913,
Alaska Region,Glacier Bay NP & PRES,National Park,1912,
Alaska Region,Glacier Bay NP & PRES,National Park,1911,
Alaska Region,Glacier Bay NP & PRES,National Park,1910,
Alaska Region,Glacier Bay NP & PRES,National Park,1909,
Alaska Region,Glacier Bay NP & PRES,National Park,1908,
Alaska Region,Glacier Bay NP & PRES,National Park,1907,
Alaska Region,Glacier Bay NP & PRES,National Park,1906,
Alaska Region,Glacier Bay NP & PRES,National Park,1905,
Alaska Region,Glacier Bay NP & PRES,National Park,1904,
Alaska Region,Katmai NP & PRES,National Park,2022,"33,908"
Alaska Region,Katmai NP & PRES,National Park,2021,"24,764"
Alaska Region,Katmai NP & PRES,National Park,2020,"51,511"
Alaska Region,Katmai NP & PRES,National Park,2019,"84,167"
Alaska Region,Katmai NP & PRES,National Park,2018,"37,818"
Alaska Region,Katmai NP & PRES,National Park,2017,"37,818"
Alaska Region,Katmai NP & PRES,National Park,2016,"37,818"
Alaska Region,Katmai NP & PRES,National Park,2015,"37,818"
Alaska Region,Katmai NP & PRES,National Park,2014,"30,896"
Alaska Region,Katmai NP & PRES,National Park,2013,"28,966"
Alaska Region,Katmai NP & PRES,National Park,2012,"39,818"
Alaska Region,Katmai NP & PRES,National Park,2011,"48,939"
Alaska Region,Katmai NP & PRES,National Park,2010,"55,172"
Alaska Region,Katmai NP & PRES,National Park,2009,"43,035"
Alaska Region,Katmai NP & PRES,National Park,2008,"7,970"
Alaska Region,Katmai NP & PRES,National Park,2007,"82,634"
Alaska Region,Katmai NP & PRES,National Park,2006,"68,630"
Alaska Region,Katmai NP & PRES,National Park,2005,"54,274"
Alaska Region,Katmai NP & PRES,National Park,2004,"56,787"
Alaska Region,Katmai NP & PRES,National Park,2003,"51,589"
Alaska Region,Katmai NP & PRES,National Park,2002,"59,025"
Alaska Region,Katmai NP & PRES,National Park,2001,"67,038"
Alaska Region,Katmai NP & PRES,National Park,2000,"71,389"
Alaska Region,Katmai NP & PRES,National Park,1999,"51,399"
Alaska Region,Katmai NP & PRES,National Park,1998,"45,470"
Alaska Region,Katmai NP & PRES,National Park,1997,"18,802"
Alaska Region,Katmai NP & PRES,National Park,1996,
Alaska Region,Katmai NP & PRES,National Park,1995,0
Alaska Region,Katmai NP & PRES,National Park,1994,"55,728"
Alaska Region,Katmai NP & PRES,National Park,1993,"53,421"
Alaska Region,Katmai NP & PRES,National Park,1992,"46,196"
Alaska Region,Katmai NP & PRES,National Park,1991,"41,417"
Alaska Region,Katmai NP & PRES,National Park,1990,"40,778"
Alaska Region,Katmai NP & PRES,National Park,1989,"40,247"
Alaska Region,Katmai NP & PRES,National Park,1988,"45,710"
Alaska Region,Katmai NP & PRES,National Park,1987,"38,212"
Alaska Region,Katmai NP & PRES,National Park,1986,"41,663"
Alaska Region,Katmai NP & PRES,National Park,1985,"25,142"
Alaska Region,Katmai NP & PRES,National Park,1984,"20,074"
Alaska Region,Katmai NP & PRES,National Park,1983,"11,182"
Alaska Region,Katmai NP & PRES,National Park,1982,"14,377"
Alaska Region,Katmai NP & PRES,National Park,1981,"13,115"
Alaska Region,Katmai NP & PRES,National Park,1980,"11,824"
Alaska Region,Katmai NP & PRES,National Park,1979,"10,659"
Alaska Region,Katmai NP & PRES,National Park,1978,"11,300"
Alaska Region,Katmai NP & PRES,National Park,1977,"10,000"
Alaska Region,Katmai NP & PRES,National Park,1976,"10,400"
Alaska Region,Katmai NP & PRES,National Park,1975,"9,700"
Alaska Region,Katmai NP & PRES,National Park,1974,"11,900"
Alaska Region,Katmai NP & PRES,National Park,1973,"8,400"
Alaska Region,Katmai NP & PRES,National Park,1972,"11,900"
Alaska Region,Katmai NP & PRES,National Park,1971,"9,600"
Alaska Region,Katmai NP & PRES,National Park,1970,"11,800"
Alaska Region,Katmai NP & PRES,National Park,1969,"7,800"
Alaska Region,Katmai NP & PRES,National Park,1968,"1,600"
Alaska Region,Katmai NP & PRES,National Park,1967,"1,200"
Alaska Region,Katmai NP & PRES,National Park,1966,900
Alaska Region,Katmai NP & PRES,National Park,1965,800
Alaska Region,Katmai NP & PRES,National Park,1964,500
Alaska Region,Katmai NP & PRES,National Park,1963,700
Alaska Region,Katmai NP & PRES,National Park,1962,300
Alaska Region,Katmai NP & PRES,National Park,1961,600
Alaska Region,Katmai NP & PRES,National Park,1960,600
Alaska Region,Katmai NP & PRES,National Park,1959,"1,100"
Alaska Region,Katmai NP & PRES,National Park,1958,700
Alaska Region,Katmai NP & PRES,National Park,1957,600
Alaska Region,Katmai NP & PRES,National Park,1956,500
Alaska Region,Katmai NP & PRES,National Park,1955,
Alaska Region,Katmai NP & PRES,National Park,1954,
Alaska Region,Katmai NP & PRES,National Park,1953,
Alaska Region,Katmai NP & PRES,National Park,1952,
Alaska Region,Katmai NP & PRES,National Park,1951,
Alaska Region,Katmai NP & PRES,National Park,1950,
Alaska Region,Katmai NP & PRES,National Park,1949,
Alaska Region,Katmai NP & PRES,National Park,1948,
Alaska Region,Katmai NP & PRES,National Park,1947,
Alaska Region,Katmai NP & PRES,National Park,1946,
Alaska Region,Katmai NP & PRES,National Park,1945,
Alaska Region,Katmai NP & PRES,National Park,1944,
Alaska Region,Katmai NP & PRES,National Park,1943,
Alaska Region,Katmai NP & PRES,National Park,1942,
Alaska Region,Katmai NP & PRES,National Park,1941,
Alaska Region,Katmai NP & PRES,National Park,1940,
Alaska Region,Katmai NP & PRES,National Park,1939,
Alaska Region,Katmai NP & PRES,National Park,1938,
Alaska Region,Katmai NP & PRES,National Park,1937,
Alaska Region,Katmai NP & PRES,National Park,1936,
Alaska Region,Katmai NP & PRES,National Park,1935,
Alaska Region,Katmai NP & PRES,National Park,1934,
Alaska Region,Katmai NP & PRES,National Park,1933,
Alaska Region,Katmai NP & PRES,National Park,1932,
Alaska Region,Katmai NP & PRES,National Park,1931,
Alaska Region,Katmai NP & PRES,National Park,1930,
Alaska Region,Katmai NP & PRES,National Park,1929,
Alaska Region,Katmai NP & PRES,National Park,1928,
Alaska Region,Katmai NP & PRES,National Park,1927,
Alaska Region,Katmai NP & PRES,National Park,1926,
Alaska Region,Katmai NP & PRES,National Park,1925,
Alaska Region,Katmai NP & PRES,National Park,1924,17
Alaska Region,Katmai NP & PRES,National Park,1923,15
